"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12","School Name.x","# Enrolled Grades 09 through 12","# Dropout All Grades","% Dropout All Grades","% Dropout Grade 09","% Dropout Grade 10","% Dropout Grade 11","% Dropout Grade 12","School Name.y","Tests Taken","Reading / Writing","Writing","Math","sch_int","School.Name.x","Subject.x","P.A..","P.A...1","A..","A...1","P..","P...1","NI..","NI...1","W.F..","W.F...1","Student.Included","CPI","Ave..SGP","Included.In.Ave..SGP","School.Name.y","Subject.y","M.E...x","M.E...1.x","E...x","E...1.x","M...x","M...1.x","PM...x","PM...1.x","NM...x","NM...1.x","No..of.Students.Included.x","Avg..Scaled.Score.x","SGP.x","Included.In.SGP.x","Ach..PCTL.x","School.Name","Subject","M.E...y","M.E...1.y","E...y","E...1.y","M...y","M...1.y","PM...y","PM...1.y","NM...y","NM...1.y","No..of.Students.Included.y","Avg..Scaled.Score.y","SGP.y","Included.In.SGP.y","Ach..PCTL.y"
"65",-71.0803754192456,42.2924381049443,58,62,80,"Lee Bldg","155 Talbot Avenue","Dorchester",2124,4290,4290,"Lee K-8","Lee K-8","K-8"," "," ",769700.926306,2931868.26054,"Joseph Lee","0035","Boston","00350183","Suffolk",653,60,59,48,58,60,83,77,91,56,61,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350183,"Boston - Joseph Lee","SCIENCE AND TECH/ENG",11,9,3,2,8,7,51,41,61,50,123,57.9,"N/A","N/A","Boston - Joseph Lee","MATH","          57",15,"           5",1,"          52",13,"         166",42,"         169",43,"         392",482.5,44.7,"         266",7,"Boston - Joseph Lee","ELA","         101",26,"          26",7,"          75",19,"         167",43,"         124",32,"         392",493,54.4,"         265",19
"66",-71.1314906110075,42.3055886604069,89,95,124,"Manning Bldg","130 Louders Lane","Jamaica Plain",2130,4311,4311,"Manning Elementary","Manning","ES"," "," ",755850.534732,2936596.64227,"Joseph P Manning","0035","Boston","00350184","Suffolk",147,10,22,23,24,23,25,20,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350184,"Boston - Joseph P Manning","SCIENCE AND TECH/ENG",11,44,2,8,9,36,13,52,1,4,25,78,"N/A","N/A","Boston - Joseph P Manning","MATH","          41",59,"           7",10,"          34",49,"          20",29,"           9",13,"          70",500.4,71,"          45",55,"Boston - Joseph P Manning","ELA","          46",66,"           7",10,"          39",56,"          19",27,"           5",7,"          70",505.3,67.2,"          45",65
"67",-71.0384112844121,42.3348707077956,26,27,37,"Tynan Bldg","650 E. Fourth Street","South Boston",2127,4590,4590,"Tynan Elementary","Tynan","ES"," "," ",780971.000003,2947390,"Joseph P Tynan","0035","Boston","00350181","Suffolk",229,29,51,34,31,23,32,29,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350181,"Boston - Joseph P Tynan","SCIENCE AND TECH/ENG",3,9,0,0,3,9,13,41,16,50,32,61.7,"N/A","N/A","Boston - Joseph P Tynan","MATH","          24",25,"           1",1,"          23",24,"          36",38,"          35",37,"          95",490.1,68.5,"          54",20,"Boston - Joseph P Tynan","ELA","          24",26,"           0",0,"          24",26,"          41",44,"          29",31,"          94",493,64.3,"          54",19
"68",-71.0649205923326,42.3479786705408,16,16,22,"Boston HS Bldg","885 Washington Street","Boston",2111,4650,4650,"Quincy Lower (K-5)","Quincy Lower (K-5)","K-12"," "," ",773779.124764,2952129.10459,"Josiah Quincy","0035","Boston","00350286","Suffolk",803,75,113,116,122,125,120,132,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350286,"Boston - Josiah Quincy","SCIENCE AND TECH/ENG",62,44,28,20,34,24,60,43,19,13,141,74.5,"N/A","N/A","Boston - Josiah Quincy","MATH","         205",54,"          28",7,"         177",46,"         130",34,"          47",12,"         382",500.6,48.9,"         252",56,"Boston - Josiah Quincy","ELA","         182",48,"          27",7,"         155",41,"         163",43,"          37",10,"         382",500.3,50.3,"         252",43
"69",-71.1625701257407,42.2718858198013,94,100,130,"Kilmer Bldg","35 Baker Street","West Roxbury",2132,4031,4031,"Kilmer Lower (K1-3)","Kilmer Lower (K1-3)","K-8"," "," ",747492.000004,2924280.00002,"Joyce Kilmer","0035","Boston","00350190","Suffolk",439,37,40,59,40,47,51,63,60,14,28,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350190,"Boston - Joyce Kilmer","SCIENCE AND TECH/ENG",24,33,4,5,20,27,29,40,20,27,73,68.2,"N/A","N/A","Boston - Joyce Kilmer","MATH","         123",47,"          19",7,"         104",40,"         100",38,"          39",15,"         262",498.6,52.7,"         192",48,"Boston - Joyce Kilmer","ELA","         151",57,"          29",11,"         122",46,"          77",29,"          35",13,"         263",503.4,58.5,"         193",56
"70",-71.0761965934802,42.3112996633731,44,47,58,"King Bldg","77 Lawrence Avenue","Dorchester",2121,4055,4055,"King K-8","King K-8","K-8"," "," ",770797.393082,2938747.29008,"King K-8","0035","Boston","00350376","Suffolk",489,56,63,62,55,39,58,42,47,41,26,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350376,"Boston - King K-8","SCIENCE AND TECH/ENG",0,0,0,0,0,0,29,48,31,52,60,37.9,"N/A","N/A","Boston - King K-8","MATH","          26",12,"           0",0,"          26",12,"         125",56,"          72",32,"         223",477.5,46.9,"         160",3,"Boston - King K-8","ELA","          43",19,"           1",0,"          42",19,"         121",54,"          59",26,"         223",482.9,45.9,"         160",5
"71",-71.07300862697,42.2866089264034,59,63,79,"Fifield Bldg","25 Dunbar Ave.","Dorchester",2124,4291,4291,"Lee Academy (K1-3)","Lee Academy (K1-3)","ES"," "," ",771704.710723,2929753.91644,"Lee Academy","0035","Boston","00350001","Suffolk",213,55,35,34,39,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boston - Lee Academy","MATH","          14",27,"           0",0,"          14",27,"          24",47,"          13",25,"          51",486.6,NA,"",13,"Boston - Lee Academy","ELA","          14",27,"           3",6,"          11",22,"          30",59,"           7",14,"          51",491.1,NA,"",14
"72",-71.0754108249664,42.3090540229102,45,48,59,"Frederick Middle","270 Columbia Road","Dorchester",2121,2360,2360,"Frederick Pilot Middle","Frederick MS","MS"," "," ",771013.999994,2937930,"Lilla G. Frederick Middle School","0035","Boston","00350383","Suffolk",453,0,0,0,0,0,0,0,125,161,167,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350383,"Boston - Lilla G. Frederick Middle School","SCIENCE AND TECH/ENG",15,9,0,0,15,9,66,38,94,54,175,44.7,"N/A","N/A","Boston - Lilla G. Frederick Middle School","MATH","          61",14,"           3",1,"          58",14,"         201",48,"         161",38,"         423",478.7,51.6,"         337",4,"Boston - Lilla G. Frederick Middle School","ELA","          46",11,"           3",1,"          43",10,"         155",37,"         223",53,"         424",471.9,43.2,"         338",2
"73",-71.1583706186087,42.2829986557843,96,102,132,"Shaw, R.G.  Bldg","20 Mt. Vernon Street","West Roxbury",2132,4331,4331,"Lyndon K-8","Lyndon K-8","K-8"," "," ",748612.367525,2928334.20882,"Lyndon","0035","Boston","00350262","Suffolk",619,66,65,72,75,76,57,80,59,35,34,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350262,"Boston - Lyndon","SCIENCE AND TECH/ENG",20,25,2,3,18,23,37,46,23,29,80,60.9,"N/A","N/A","Boston - Lyndon","MATH","         124",41,"          14",5,"         110",37,"         124",41,"          52",17,"         300",492.8,55.1,"         237",27,"Boston - Lyndon","ELA","         155",51,"          44",15,"         111",37,"          96",32,"          50",17,"         301",499.3,54.5,"         238",40
"74",-71.1615006236464,42.3510786684041,98,104,135,"Lyon, Mary  Bldg","50 Beechcroft Street","Brighton",2135,4171,4171,"Lyon K-8","Lyon K-8","K-12"," "," ",747666.93002,2953140.41771,"Lyon K-8","0035","Boston","00350004","Suffolk",132,0,13,12,14,15,15,15,16,18,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350004,"Boston - Lyon K-8","SCIENCE AND TECH/ENG",9,27,2,6,7,21,18,55,6,18,33,67.4,"N/A","N/A","Boston - Lyon K-8","MATH","          46",52,"           4",4,"          42",47,"          40",45,"           3",3,"          89",502.4,53.4,"          72",63,"Boston - Lyon K-8","ELA","          43",48,"           8",9,"          35",39,"          43",48,"           3",3,"          89",502.8,51.2,"          72",53
